"NAME","STATE","COUNTY","TRACT","POP_TOT","HH_TOT","M_TOT","F_TOT","AGE_MED","AGE_MED_M","AGE_MED_F","RACE_WHITE","RACE_BLACK","RACE_AMERINDIAN","RACE_ASIAN","RACE_HAWAIIPACISL","RACE_OTHER","RACE_MULTIPLE","ORIGIN_NONHISPANIC","ORIGIN_HISPANIC","CITIZEN_US_US","CITIZEN_US_ISLAND","CITIZEN_US_ABROAD","CITIZEN_US_NATURALIZED","CITIZEN_NONUS","MOVED_ABROAD","MOVED_DCTYSST","MOVED_SCTY","MOVED_DST","MOVED_NOMOVE","SNAP_HHYES","SNAP_HHNO","MARRIAGE_NEVER_M","MARRIAGE_NOW_M","MARRIAGE_WIDOWED_M","MARRIAGE_DIVORCED_M","MARRIAGE_NEVER_F","MARRIAGE_NOW_F","MARRIAGE_WIDOWED_F","MARRIAGE_DIVORCED_F","SCHOOL_ENR","SCHOOL_ENR_NURSERY","SCHOOL_ENR_KINDER","SCHOOL_ENR_1TO4","SCHOOL_ENR_5TO8","SCHOOL_ENR_9TO12","SCHOOL_ENR_UG","SCHOOL_ENR_GRAD","SCHOOL_NOTENR","EDATT_M","EDATT_HSGED_M","EDATT_LESS1YRCOLL_M","EDATT_COLLNODEG_ML","EDATT_ASSOC_M","EDATT_BACH_M","EDATT_MASTER_M","EDATT_PROF_M","EDATT_DOCT_M","EDATT_F","EDATT_HSGED_F","EDATT_LESS1YRCOLL_F","EDATT_COLLNODEG_F","EDATT_ASSOC_F","EDATT_BACH_F","EDATT_MASTER_F","EDATT_PROF_F","EDATT_DOCT_F","INC_HH_MED","GINI","LABORFORCE_IN_CIVILIAN_EMPLOYED","LABORFORCE_IN_CIVILIAN_UNEMPLOYED","LABORFORCE_IN_ARMED","LABORFORCE_OUT","HOUSINGCOST_MONTH_MED","IND_AFFHM","IND_CONSTRUCTION","IND_MANUFACTURING","IND_WT","IND_RT","IND_TWU","IND_INFO","IND_FIRRL","IND_PSMAWMS","IND_ESHCSA","IND_AERAF","IND_OTHER","IND_PA","OCC_MBSA","OCC_SERVICE","OCC_SO","OCC_NRCM","OCC_PTMM","YEAR","GEOID"
"Census Tract 9711, Cortland County, New York","36","023","971100",1084,485,2350,2287,37.4,36.9,37.7,4431,30,0,95,21,13,47,4602,35,4503,13,18,84,19,9,53,230,36,4243,223,1027,484,1122,37,167,417,1105,160,139,1246,51,63,272,272,307,233,48,3170,1512,755,77,143,125,163,35,6,18,1498,663,87,145,227,139,119,2,0,45732,0.4122,2158,166,13,1229,681,162,223,211,48,273,148,13,46,136,621,126,92,59,704,324,491,309,330,2011,"36023971100"
"Census Tract 9712, Cortland County, New York","36","023","971200",735,313,1982,1910,41.4,41.2,41.8,3540,177,31,0,0,5,139,3831,61,3839,8,6,24,15,0,92,137,163,3483,212,755,421,967,43,130,341,981,131,121,1014,62,51,228,240,266,157,10,2761,1308,509,65,164,146,151,41,8,50,1312,457,85,229,204,167,80,5,0,54865,0.3649,1972,87,3,998,828,112,174,385,52,259,48,25,75,115,522,86,51,68,669,266,519,179,339,2011,"36023971200"
"Census Tract 9701, Cortland County, New York","36","023","970100",1059,442,2025,1737,39.5,37,42,3575,73,12,23,15,34,30,3682,80,3656,0,11,35,60,0,121,115,25,3466,200,783,553,830,68,111,386,806,151,121,1021,53,36,196,244,359,106,27,2656,1226,551,77,86,97,124,33,3,13,1164,490,61,148,167,102,93,3,3,50476,0.3771,1779,167,1,984,751,135,195,263,70,174,92,8,77,104,400,134,79,48,446,306,433,257,337,2012,"36023970100"
"Census Tract 9702, Cortland County, New York","36","023","970200",834,371,3009,2900,41.3,42,40.8,5785,31,8,4,0,0,81,5894,15,5859,25,18,4,3,0,355,190,10,5354,430,1154,657,1351,89,269,619,1231,179,289,1675,119,97,313,438,470,150,88,4076,2028,628,120,346,306,251,62,26,22,1988,731,136,214,305,193,175,25,19,53299,0.3785,2880,266,0,1354,893,108,205,441,46,328,114,52,86,232,771,243,117,137,965,557,565,385,408,2012,"36023970200"
"Census Tract 9703, Cortland County, New York","36","023","970300",287,132,1417,1797,40.1,40.2,39.9,2976,14,19,135,0,55,15,3147,67,3031,0,0,160,23,0,43,164,30,2954,43,659,320,730,0,107,392,728,129,156,765,72,7,258,170,78,162,18,2377,976,204,33,141,118,245,104,17,18,1231,327,120,171,122,241,179,19,0,58807,0.4342,1791,147,7,567,913,38,82,160,60,278,16,0,44,71,648,73,62,259,721,258,567,132,113,2012,"36023970300"
"Census Tract 9704, Cortland County, New York","36","023","970400",463,188,1381,1537,43.5,44.7,42.7,2781,21,18,50,0,18,30,2864,54,2859,0,0,28,31,3,25,217,0,2628,226,448,206,701,48,156,250,762,152,97,665,65,25,155,133,147,132,8,2153,964,431,28,107,106,156,30,9,0,1089,350,33,180,184,102,95,27,16,57150,0.3967,1429,89,3,804,857,7,107,229,67,187,40,0,27,79,380,150,28,128,486,267,346,90,240,2012,"36023970400"
"Census Tract 9705, Cortland County, New York","36","023","970500",297,140,1660,1862,36.1,33.6,38.3,3302,7,0,46,0,128,39,3357,165,3392,12,16,52,50,78,132,333,37,2931,40,597,705,512,37,153,664,535,192,230,842,56,50,169,78,111,351,27,2559,1188,392,103,189,117,130,75,24,21,1207,336,73,161,203,168,143,8,0,43031,0.3993,1787,145,0,1085,741,23,73,155,0,280,64,0,31,214,609,190,86,62,604,390,471,121,201,2012,"36023970500"
"Census Tract 9706, Cortland County, New York","36","023","970600",251,139,1547,1402,39.1,34.3,40.2,2697,247,0,0,0,4,1,2803,146,2890,2,0,46,11,2,48,475,31,2373,243,169,669,357,54,260,485,460,131,204,662,53,20,148,45,95,229,72,2245,908,394,81,143,61,50,67,0,2,988,358,76,77,107,144,61,0,0,28184,0.4374,1424,188,0,1001,614,0,25,107,17,205,31,0,28,87,616,183,120,5,422,415,233,98,256,2012,"36023970600"
"Census Tract 9707, Cortland County, New York","36","023","970700",360,158,2396,2698,31.1,33.1,31.1,4937,51,33,42,0,0,31,4979,115,5000,0,20,49,25,12,204,1147,22,3617,117,802,934,837,89,111,1013,834,246,230,2036,74,32,160,195,165,1317,93,2828,1354,384,51,131,99,335,135,80,52,1424,363,99,202,170,345,171,4,0,48086,0.4695,1933,170,0,2119,764,0,45,153,31,244,28,30,88,143,770,141,127,133,983,322,479,52,97,2012,"36023970700"
"Census Tract 9708, Cortland County, New York","36","023","970800",391,14,1172,1503,19.7,19.8,19.7,2533,84,21,0,8,29,0,2640,35,2647,8,0,10,10,0,792,125,82,1676,0,4,1152,11,0,9,1460,17,3,23,2567,0,0,0,0,11,2550,6,108,50,0,4,20,8,9,0,0,0,50,15,0,10,0,18,7,0,0,37778,0.4681,694,14,0,1963,805,0,3,17,10,128,0,16,0,0,405,85,27,3,82,357,210,3,42,2012,"36023970800"
"Census Tract 9709, Cortland County, New York","36","023","970900",418,164,2423,2608,30.3,29.7,30.6,4557,73,3,34,0,97,267,4755,276,4823,7,52,94,55,8,188,1018,9,3698,495,564,1026,738,71,202,848,802,227,213,1730,85,93,197,264,175,830,86,3060,1397,543,110,131,203,86,70,30,38,1522,517,90,170,198,196,133,0,0,32500,0.503,2306,185,0,1540,698,134,62,249,41,305,68,0,139,303,538,326,98,43,654,585,694,138,235,2012,"36023970900"
"Census Tract 9710, Cortland County, New York","36","023","971000",356,145,2623,2949,43.2,41.1,47,5226,70,0,71,0,63,142,5453,119,5343,0,53,75,101,117,407,465,134,4425,209,787,950,1112,42,149,756,1183,312,186,1537,133,71,239,225,196,662,11,3907,1736,478,118,193,235,339,91,0,95,2006,703,199,294,139,302,205,44,25,54146,0.3983,2582,264,0,1799,881,79,145,267,0,321,133,27,73,100,1029,239,132,37,930,376,773,212,291,2012,"36023971000"
"Census Tract 9711, Cortland County, New York","36","023","971100",1147,517,2441,2385,36.8,36.6,37,4619,32,0,93,19,12,51,4797,29,4697,14,19,78,18,9,63,178,49,4473,231,1094,533,1111,43,179,451,1117,166,152,1318,75,61,317,303,305,198,59,3310,1566,815,72,144,128,165,37,7,17,1570,698,86,171,201,175,129,3,0,48145,0.3725,2181,189,15,1294,698,116,274,214,52,253,156,15,37,150,629,108,98,79,686,373,460,333,329,2012,"36023971100"
"Census Tract 9712, Cortland County, New York","36","023","971200",793,339,2048,1933,41.2,39.7,42,3749,65,37,0,0,3,127,3937,44,3890,22,9,37,23,0,70,155,149,3588,211,729,409,1058,29,101,329,1099,130,81,1046,73,72,232,200,286,164,19,2850,1353,543,88,127,161,159,56,9,43,1388,400,126,262,209,185,88,4,0,57000,0.3608,1983,80,3,1125,848,95,163,350,49,285,55,33,76,108,530,73,51,115,681,294,499,173,336,2012,"36023971200"
"Census Tract 9701, Cortland County, New York","36","023","970100",1095,459,1949,1675,41.6,39.7,43.2,3433,71,14,36,13,28,29,3559,65,3527,0,4,37,56,0,135,128,40,3303,160,692,508,822,81,122,353,800,133,130,902,52,39,183,200,291,100,37,2663,1265,571,93,103,105,118,39,3,14,1183,481,45,152,200,105,94,3,3,51563,0.3805,1748,187,1,948,777,120,197,225,46,151,88,7,79,129,450,120,82,54,475,309,430,243,291,2013,"36023970100"
"Census Tract 9702, Cortland County, New York","36","023","970200",804,358,3101,2829,42.9,42.5,43.2,5859,32,7,6,0,0,26,5919,11,5902,0,16,6,6,4,135,168,10,5613,208,1146,739,1465,79,267,502,1357,154,324,1449,130,32,294,403,386,128,76,4379,2084,672,186,274,263,249,92,24,16,2038,741,127,214,320,262,159,23,19,56808,0.3989,3150,250,0,1335,889,154,267,449,102,358,153,47,170,241,767,185,142,115,1104,347,764,366,569,2013,"36023970200"
"Census Tract 9703, Cortland County, New York","36","023","970300",302,137,1401,1762,40.1,40,40.2,2953,55,9,0,0,82,64,3024,139,3127,0,0,23,13,0,34,195,29,2898,128,622,313,661,7,116,422,650,130,163,868,95,19,268,215,112,120,39,2255,981,233,13,151,177,188,88,25,16,1195,323,106,144,126,278,161,8,0,55179,0.3904,1629,114,5,674,896,20,57,213,16,236,21,0,49,96,591,71,65,194,664,245,459,110,151,2013,"36023970300"
"Census Tract 9704, Cortland County, New York","36","023","970400",467,189,1349,1601,42.8,44.6,42.2,2760,24,6,104,0,14,42,2885,65,2806,29,0,57,58,0,28,270,0,2607,210,495,180,662,60,170,277,783,142,106,666,55,30,169,150,158,95,9,2180,949,400,31,147,132,122,9,0,0,1130,380,47,195,170,132,89,28,7,58199,0.3711,1395,98,0,837,826,8,96,206,73,202,55,8,25,71,407,116,50,78,401,256,386,131,221,2013,"36023970400"
"Census Tract 9705, Cortland County, New York","36","023","970500",322,145,1705,2071,34.9,33.6,38,3491,7,0,56,0,192,30,3544,232,3620,6,15,81,54,73,110,349,31,3190,60,643,732,527,45,124,744,563,214,269,901,63,47,171,105,115,368,32,2731,1188,394,89,246,111,106,85,13,21,1319,359,100,171,239,155,144,18,10,43741,0.401,1898,187,0,1122,775,39,75,134,0,317,98,0,25,200,616,257,89,48,648,410,508,155,177,2013,"36023970500"
"Census Tract 9706, Cortland County, New York","36","023","970600",254,136,1717,1417,33.9,31.6,37.4,2809,317,0,0,0,6,2,2977,157,3051,3,0,68,12,2,31,428,33,2615,276,282,769,324,83,239,554,430,66,230,798,49,25,179,77,134,287,47,2301,941,406,59,137,74,48,89,0,2,977,388,94,88,95,132,43,0,0,26194,0.4423,1515,204,0,961,615,0,25,146,28,267,8,0,6,111,609,181,117,17,439,405,222,85,364,2013,"36023970600"
"Census Tract 9707, Cortland County, New York","36","023","970700",375,160,2193,2538,28.9,26.1,30,4551,59,0,44,0,52,25,4587,144,4625,10,11,64,21,11,173,1169,33,3286,128,676,918,735,99,79,1003,724,241,238,1901,63,33,147,181,159,1243,75,2660,1174,329,35,146,84,325,107,35,36,1348,302,117,216,145,274,199,5,0,44668,0.4685,1962,124,0,1855,777,16,33,157,29,329,7,59,116,133,740,146,82,115,902,368,509,62,121,2013,"36023970700"
"Census Tract 9708, Cortland County, New York","36","023","970800",420,15,1083,1507,19.5,19.5,19.5,2418,80,16,29,0,36,11,2542,48,2578,0,0,12,0,0,867,153,86,1484,0,3,1061,13,0,9,1475,16,4,12,2495,0,0,0,0,11,2478,6,95,50,0,4,19,9,10,0,0,0,43,15,0,0,0,16,8,0,0,31875,0.5247,685,26,0,1876,878,0,4,18,9,119,0,15,0,0,404,102,11,3,74,340,224,4,43,2013,"36023970800"
"Census Tract 9709, Cortland County, New York","36","023","970900",428,163,2339,2617,30.7,30.6,30.7,4355,193,0,63,0,16,329,4817,139,4787,0,42,85,42,8,178,828,9,3849,579,590,992,654,76,187,831,738,216,248,1665,97,73,244,303,217,659,72,3087,1357,498,110,172,142,106,56,24,24,1564,558,86,182,178,226,127,0,9,33750,0.4561,2178,208,0,1472,690,70,82,283,55,278,92,0,113,275,629,178,73,50,581,528,612,118,339,2013,"36023970900"
"Census Tract 9710, Cortland County, New York","36","023","971000",373,142,2564,2953,44,42.9,46,5293,14,0,34,0,52,124,5430,87,5343,0,42,109,23,64,392,437,106,4492,223,752,912,1102,63,176,759,1168,318,212,1585,85,39,263,197,316,675,10,3785,1661,465,151,145,248,274,118,0,90,1930,672,173,190,140,312,271,53,29,54179,0.42,2531,220,0,1929,847,72,50,299,0,327,93,10,61,135,977,282,176,49,874,427,794,168,268,2013,"36023971000"
"Census Tract 9711, Cortland County, New York","36","023","971100",1186,535,2424,2365,37.8,37.5,38.1,4575,12,8,124,20,15,35,4729,60,4627,17,11,111,23,5,59,175,65,4441,202,1041,543,1077,51,217,465,1075,175,160,1197,58,68,306,294,253,168,50,3404,1613,832,75,157,169,171,41,8,8,1557,694,74,182,227,149,116,4,0,47443,0.3889,2223,168,13,1292,710,124,320,229,56,254,143,27,41,157,560,166,76,70,704,362,468,374,315,2013,"36023971100"
"Census Tract 9712, Cortland County, New York","36","023","971200",863,362,2128,1983,39.7,38.1,41.3,3888,47,35,0,0,3,138,4083,28,3991,19,5,52,44,0,101,165,144,3667,186,752,488,1041,21,136,380,1036,153,101,998,45,82,240,213,243,150,25,3006,1425,607,63,147,167,223,54,8,47,1414,466,95,205,190,184,138,4,6,57007,0.392,2130,108,3,1088,831,118,190,331,61,295,81,10,64,160,530,76,89,125,811,264,478,216,361,2013,"36023971200"
"Census Tract 9701, Cortland County, New York","36","023","970100",1114,483,1769,1688,42.2,41.6,42.6,3323,17,12,4,23,33,45,3395,62,3380,0,3,25,49,0,107,73,40,3210,162,641,471,761,64,135,350,783,138,130,844,21,52,169,182,268,115,37,2540,1180,554,97,84,109,95,43,6,12,1153,452,45,159,184,102,106,8,3,52147,0.3755,1719,167,1,887,780,107,199,235,37,141,66,1,64,135,479,119,66,70,459,313,386,243,318,2014,"36023970100"
"Census Tract 9702, Cortland County, New York","36","023","970200",816,357,3147,2784,42.3,40.9,42.9,5856,38,0,4,0,0,33,5915,16,5904,0,14,7,6,3,189,159,9,5565,335,1111,763,1414,68,295,495,1357,142,295,1611,167,36,394,343,412,184,75,4223,2029,709,175,196,229,249,97,24,16,1980,729,142,189,259,239,193,30,21,60861,0.3893,3163,208,3,1298,856,157,212,385,105,355,150,42,175,276,701,268,170,167,1126,367,757,336,577,2014,"36023970200"
"Census Tract 9703, Cortland County, New York","36","023","970300",304,140,1373,1740,36.8,36.8,36.8,2750,62,9,45,0,75,172,2917,196,3046,0,0,7,60,0,27,146,8,2907,119,629,333,540,13,183,451,617,129,159,812,84,58,257,158,120,107,28,2225,873,255,35,81,209,138,51,22,16,1198,376,132,132,127,246,125,8,0,50268,0.3876,1538,111,7,717,864,8,29,179,13,140,47,0,79,149,455,177,66,196,588,248,471,60,171,2014,"36023970300"
"Census Tract 9704, Cortland County, New York","36","023","970400",440,184,1419,1582,43.6,44.8,41.6,2879,2,0,68,0,8,44,2910,91,2837,50,7,56,51,0,28,252,12,2677,196,503,230,707,58,146,270,818,126,92,677,54,28,133,161,162,128,11,2215,994,403,27,128,128,134,7,0,0,1098,368,44,149,162,155,65,18,12,57125,0.3752,1429,92,0,880,812,8,98,207,47,191,83,8,9,99,446,115,54,64,440,277,346,150,216,2014,"36023970400"
"Census Tract 9705, Cortland County, New York","36","023","970500",307,149,1746,1858,35.7,32.2,41.6,3373,0,0,1,0,200,30,3377,227,3483,6,15,90,10,0,133,243,53,3149,75,575,794,515,46,118,592,508,210,297,857,59,54,146,123,126,318,31,2617,1205,416,72,258,165,109,75,0,14,1276,308,84,151,264,177,130,19,13,43853,0.4132,1926,172,0,970,744,47,80,146,0,272,96,0,71,146,639,272,90,67,709,410,475,164,168,2014,"36023970500"
"Census Tract 9706, Cortland County, New York","36","023","970600",281,146,1685,1430,34,33.5,35.4,2760,301,0,41,0,10,3,2961,154,2973,4,8,108,22,3,32,403,40,2605,138,337,760,388,81,195,589,423,69,224,733,8,31,155,88,141,283,27,2320,952,415,51,136,94,56,54,9,9,921,417,90,81,94,97,46,6,10,27521,0.4319,1625,120,0,967,614,0,37,174,40,289,23,0,18,78,643,208,63,52,491,440,283,75,336,2014,"36023970600"
"Census Tract 9707, Cortland County, New York","36","023","970700",414,169,2348,2703,26.1,26.2,25.7,4822,66,0,36,0,88,39,4881,170,4933,6,41,55,16,0,212,1272,29,3447,141,753,1031,769,77,82,1074,743,253,249,2115,85,35,168,196,175,1231,225,2738,1244,306,57,166,94,379,117,22,35,1379,292,116,285,164,281,155,5,3,47452,0.4589,2202,169,0,1803,782,19,22,151,30,321,11,76,118,141,957,192,84,80,991,445,590,63,113,2014,"36023970700"
