"NAME","STATE","COUNTY","TRACT","POP_TOT","HH_TOT","M_TOT","F_TOT","AGE_MED","AGE_MED_M","AGE_MED_F","RACE_WHITE","RACE_BLACK","RACE_AMERINDIAN","RACE_ASIAN","RACE_HAWAIIPACISL","RACE_OTHER","RACE_MULTIPLE","ORIGIN_NONHISPANIC","ORIGIN_HISPANIC","CITIZEN_US_US","CITIZEN_US_ISLAND","CITIZEN_US_ABROAD","CITIZEN_US_NATURALIZED","CITIZEN_NONUS","MOVED_ABROAD","MOVED_DCTYSST","MOVED_SCTY","MOVED_DST","MOVED_NOMOVE","SNAP_HHYES","SNAP_HHNO","MARRIAGE_NEVER_M","MARRIAGE_NOW_M","MARRIAGE_WIDOWED_M","MARRIAGE_DIVORCED_M","MARRIAGE_NEVER_F","MARRIAGE_NOW_F","MARRIAGE_WIDOWED_F","MARRIAGE_DIVORCED_F","SCHOOL_ENR","SCHOOL_ENR_NURSERY","SCHOOL_ENR_KINDER","SCHOOL_ENR_1TO4","SCHOOL_ENR_5TO8","SCHOOL_ENR_9TO12","SCHOOL_ENR_UG","SCHOOL_ENR_GRAD","SCHOOL_NOTENR","EDATT_M","EDATT_HSGED_M","EDATT_LESS1YRCOLL_M","EDATT_COLLNODEG_ML","EDATT_ASSOC_M","EDATT_BACH_M","EDATT_MASTER_M","EDATT_PROF_M","EDATT_DOCT_M","EDATT_F","EDATT_HSGED_F","EDATT_LESS1YRCOLL_F","EDATT_COLLNODEG_F","EDATT_ASSOC_F","EDATT_BACH_F","EDATT_MASTER_F","EDATT_PROF_F","EDATT_DOCT_F","INC_HH_MED","GINI","LABORFORCE_IN_CIVILIAN_EMPLOYED","LABORFORCE_IN_CIVILIAN_UNEMPLOYED","LABORFORCE_IN_ARMED","LABORFORCE_OUT","HOUSINGCOST_MONTH_MED","IND_AFFHM","IND_CONSTRUCTION","IND_MANUFACTURING","IND_WT","IND_RT","IND_TWU","IND_INFO","IND_FIRRL","IND_PSMAWMS","IND_ESHCSA","IND_AERAF","IND_OTHER","IND_PA","OCC_MBSA","OCC_SERVICE","OCC_SO","OCC_NRCM","OCC_PTMM","YEAR","GEOID"
"Census Tract 9708, Cortland County, New York","36","023","970800",444,16,1061,1527,19.7,19.7,19.6,2369,127,0,23,0,59,10,2509,79,2572,0,0,4,12,3,704,170,52,1659,0,4,1051,10,0,0,1505,15,4,3,2519,0,0,0,0,4,2509,6,69,42,0,4,14,0,9,0,0,3,33,7,0,0,0,11,7,0,4,29444,0.5528,752,23,0,1809,938,0,7,3,0,84,0,16,0,0,520,115,3,4,92,414,231,3,12,2014,"36023970800"
"Census Tract 9709, Cortland County, New York","36","023","970900",430,172,2328,2532,33,31.6,33.4,4241,258,0,20,0,9,332,4784,76,4790,0,9,36,25,7,177,759,9,3801,521,558,879,643,76,218,819,742,209,270,1528,56,49,266,302,198,565,92,3101,1373,533,96,130,161,101,63,13,22,1617,549,90,228,186,213,118,0,13,35179,0.3909,2139,214,0,1451,714,10,73,324,49,320,82,0,83,279,676,102,88,53,476,539,612,109,403,2014,"36023970900"
"Census Tract 9710, Cortland County, New York","36","023","971000",354,133,2494,2945,46.1,44.4,48.1,5278,28,0,6,0,21,106,5399,40,5296,0,49,81,13,0,225,220,81,4866,102,808,722,1119,96,234,677,1214,429,217,1480,101,59,245,186,321,557,11,3880,1733,538,130,152,250,258,148,0,87,2022,735,184,185,167,299,214,59,75,58149,0.4269,2624,192,0,1853,838,61,40,417,14,254,108,14,43,121,999,301,183,69,875,461,746,208,334,2014,"36023971000"
"Census Tract 9711, Cortland County, New York","36","023","971100",1246,562,2447,2452,38.5,38,39.4,4685,25,19,113,0,0,57,4818,81,4774,2,11,91,21,5,86,93,72,4615,261,989,585,1087,61,209,522,1123,155,157,1298,69,68,282,310,297,207,65,3440,1613,862,90,157,166,139,40,7,3,1591,707,89,197,217,156,107,5,0,48721,0.3832,2304,196,0,1344,680,95,325,294,50,272,105,27,56,136,589,193,68,94,674,431,473,392,334,2014,"36023971100"
"Census Tract 9712, Cortland County, New York","36","023","971200",913,388,2086,2087,40.1,38.7,41.2,3877,31,0,0,0,4,261,4144,29,4050,20,5,52,46,4,117,108,53,3847,130,836,532,994,21,122,402,1037,164,128,982,39,84,217,193,256,169,24,3066,1380,646,66,104,167,179,80,9,38,1460,493,108,212,186,176,149,8,5,57819,0.414,2166,121,0,1084,847,142,167,308,59,332,83,9,45,141,555,78,119,128,848,248,462,246,362,2014,"36023971200"
"Census Tract 9701, Cortland County, New York","36","023","970100",1129,497,1768,1644,42.8,41.4,43.6,3318,3,4,7,21,2,57,3380,32,3380,0,1,18,13,0,148,92,43,3094,157,616,480,752,63,142,344,744,127,146,752,27,48,170,166,216,95,30,2576,1187,567,86,84,122,113,33,7,7,1158,474,49,142,164,117,118,7,3,50345,0.3867,1695,142,1,892,770,95,197,223,35,164,52,5,84,134,455,143,51,57,458,314,398,245,280,2015,"36023970100"
"Census Tract 9702, Cortland County, New York","36","023","970200",810,351,3209,2637,42.6,42.4,42.8,5754,31,0,10,0,0,51,5828,18,5803,0,33,7,3,2,204,126,8,5499,364,1041,751,1440,65,309,451,1375,115,217,1549,151,41,405,354,345,191,62,4203,2079,682,169,230,187,240,179,35,40,1858,611,157,181,273,240,199,57,21,66364,0.4021,3209,137,1,1282,856,163,246,336,108,316,124,23,182,211,791,335,207,167,1200,457,726,342,484,2015,"36023970200"
"Census Tract 9703, Cortland County, New York","36","023","970300",325,143,1402,1682,37,36.1,38.4,2780,39,0,83,0,58,124,2958,126,2967,0,9,20,88,0,53,160,8,2820,130,586,343,542,20,178,466,611,146,146,814,64,81,216,164,132,101,56,2192,836,224,35,82,169,138,78,23,8,1199,317,138,156,122,265,141,0,0,50307,0.3847,1566,94,7,744,842,9,35,207,14,118,51,0,66,110,447,212,80,217,586,286,423,80,191,2015,"36023970300"
"Census Tract 9704, Cortland County, New York","36","023","970400",431,187,1420,1379,45.4,44.9,46.8,2643,2,0,107,0,3,44,2592,207,2639,23,6,59,72,0,58,151,8,2573,79,505,294,722,43,135,204,767,101,81,504,11,17,92,161,146,66,11,2224,1002,392,29,111,190,132,5,0,0,1039,382,30,108,164,149,71,17,15,53947,0.3506,1392,97,0,847,774,8,102,213,34,147,52,12,21,87,472,98,46,100,430,252,312,206,192,2015,"36023970400"
"Census Tract 9705, Cortland County, New York","36","023","970500",314,149,1722,1852,40,35.1,45.2,3434,0,0,2,0,138,0,3421,153,3445,5,27,86,11,0,159,232,51,3094,78,557,779,540,23,128,556,547,234,236,748,57,38,152,124,93,254,30,2666,1210,422,72,286,155,95,77,0,13,1353,395,102,96,260,177,123,19,13,42404,0.4876,1900,155,0,977,754,55,98,186,10,219,125,0,78,160,630,214,98,27,651,405,422,188,234,2015,"36023970500"
"Census Tract 9706, Cortland County, New York","36","023","970600",275,147,1641,1368,37.8,34.8,40.8,2685,253,0,45,0,23,3,2862,147,2861,4,11,108,25,3,49,282,19,2620,160,348,716,438,74,184,435,445,67,245,693,6,48,153,100,146,209,31,2247,1017,441,31,164,94,67,58,7,7,950,387,94,142,93,103,38,6,10,25107,0.4361,1481,101,0,1002,625,0,43,172,31,233,23,0,29,109,610,142,32,57,498,372,296,75,240,2015,"36023970600"
"Census Tract 9707, Cortland County, New York","36","023","970700",445,177,2151,3204,24.9,31,21.9,5053,92,0,57,0,112,41,5189,166,5202,11,39,65,38,0,198,1495,28,3574,159,674,840,807,49,112,1645,830,203,200,2233,58,54,162,175,205,1431,148,2995,1274,313,58,155,149,358,112,29,17,1387,257,89,261,207,273,197,6,3,52679,0.406,2621,143,0,1803,813,18,23,154,25,355,23,47,95,208,1101,286,176,110,1130,535,746,43,167,2015,"36023970700"
"Census Tract 9708, Cortland County, New York","36","023","970800",462,18,1040,1450,19.8,19.8,19.8,2318,97,0,23,0,20,32,2454,36,2467,0,0,9,14,3,441,169,56,1821,0,3,1027,13,0,0,1412,31,4,3,2411,0,0,0,0,3,2408,0,79,31,0,3,14,0,7,0,0,3,48,7,0,0,4,11,6,12,4,36250,0.5249,819,23,0,1645,1107,3,6,4,0,92,0,12,0,0,537,159,3,3,118,421,268,3,9,2015,"36023970800"
"Census Tract 9709, Cortland County, New York","36","023","970900",398,172,2172,2534,30.9,28.6,33,4144,241,0,0,0,0,321,4648,58,4678,0,9,9,10,6,147,876,0,3614,639,457,868,540,73,192,844,691,197,296,1531,39,28,313,317,189,582,63,2974,1230,425,78,179,150,84,58,17,14,1585,535,71,156,238,201,119,0,17,36320,0.3908,2103,159,0,1363,723,10,74,345,38,317,120,0,92,228,625,149,54,51,487,454,639,94,429,2015,"36023970900"
"Census Tract 9710, Cortland County, New York","36","023","971000",364,131,2707,2914,44.6,43.1,46.3,5310,13,0,87,0,20,191,5487,134,5381,0,85,141,14,0,230,160,32,5156,83,852,795,1173,90,270,667,1188,444,190,1483,99,110,281,129,266,598,0,4006,1892,472,141,210,270,277,234,15,52,2004,582,149,223,175,459,207,43,75,62500,0.425,2830,147,0,1824,911,51,41,392,68,184,105,0,37,176,1099,336,225,116,1068,617,682,195,268,2015,"36023971000"
"Census Tract 9711, Cortland County, New York","36","023","971100",1295,587,2490,2395,38.6,39.8,37.5,4717,50,11,27,0,0,80,4823,62,4816,2,13,40,14,5,83,137,75,4547,275,989,675,1067,73,210,495,1053,154,144,1222,52,86,285,277,314,164,44,3488,1674,897,102,140,203,125,27,7,3,1555,664,114,202,230,134,99,9,0,49438,0.3935,2287,198,0,1333,738,94,368,329,58,221,104,34,43,95,579,180,59,123,624,449,412,460,342,2015,"36023971100"
"Census Tract 9712, Cortland County, New York","36","023","971200",974,407,2199,2063,40,38.5,41.3,4086,45,30,0,0,5,96,4175,87,4150,25,17,37,33,4,108,189,35,3871,145,899,556,971,57,155,400,978,154,154,962,26,74,196,272,264,107,23,3144,1463,662,93,144,179,144,57,9,54,1431,472,113,169,185,173,140,6,9,56331,0.4193,2177,162,0,1037,868,123,186,331,49,241,81,6,29,150,610,106,149,116,762,333,382,246,454,2015,"36023971200"
